"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Тестирование фильтрации закладок. Поиск не находит результатов","735","search_in_bookmarks_shows_empty_results","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","search_in_bookmarks_shows_empty_results"
"","1868","feed_whenRemovingBookmark_removesBookmark","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","feed_whenRemovingBookmark_removesBookmark"
"","577","loading_showsLoadingSpinner","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","loading_showsLoadingSpinner"
"","517","feed_whenHasNoBookmarks_showsEmptyState","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","feed_whenHasNoBookmarks_showsEmptyState"
"","873","feed_whenHasBookmarks_showsBookmarks","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","feed_whenHasBookmarks_showsBookmarks"
"Тестирование навигации к деталям статьи из закладок","853","news_resource_click_navigates_to_details","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","news_resource_click_navigates_to_details"
"","456","feed_whenLifecycleStops_undoBookmarkedStateIsCleared","","2025-10-18","passed","2025-10-18","","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","com.google.samples.apps.nowinandroid.feature.bookmarks.BookmarksScreenTest","feed_whenLifecycleStops_undoBookmarkedStateIsCleared"
