"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Instrumentation tests","0","","16","0","BookmarksScreen","0"
"0","Инструментальные тесты","0","","22","0","BookmarksScreen","0"
